Track Name,Artist,Album,Popularity,Duration (minutes)
Pookkal Pookkum,G. V. Prakash,Madharasapattinam (Original Motion Picture Soundtrack),69,6.61
Pala Pala,Hariharan,Ayan,0,5.42
Munbe Vaa,Naresh Iyer,Sillunu Oru Kadhal (Original Motion Picture Soundtrack),70,5.95
Adiyae Kolluthey,Harris Jayaraj,Vaaranam Aayiram (Original Motion Picture Soundtrack),64,5.26
Konjam - 2,Armaan Malik,M.S.Dhoni - The Untold Story,42,3.65
Nee Kavithaigala,Dhibu Ninan Thomas,Maragatha Naanayam (Original Motion Picture Soundtrack),69,4.6
Kannmoodi thirakkum,Devi Sri Prasad,Sachien,0,5.66
"Kesariya (From ""Brahmastra"")",Pritam,"Kesariya (From ""Brahmastra"")",76,4.47
Taare Ginn,A.R. Rahman,Dil Bechara (Original Motion Picture Soundtrack),51,4.3
Poongatre Poongatre,Yuvan Shankar Raja,Paiya (Original Motion Picture Soundtrack),55,5.33
"Naa Ready (From ""Leo"")",Anirudh Ravichander,"Naa Ready (From ""Leo"")",68,4.14
"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",Anirudh Ravichander,"Arabic Kuthu - Halamithi Habibo (From ""Beast"")",69,4.66
